Unnamed: 0,Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
172,Razer,Notebook,17.3,Retina 2560x1600,Apple M3 Pro,32GB,1TB SSD,Integrated AMD Radeon,Windows 11,2.09kg,183398.23
173,Asus,Gaming,17.3,3840x2160,Apple M3 Pro,32GB,256GB SSD,NVIDIA RTX 4060,Linux,1.39kg,87741.33
174,Razer,Gaming,13.3,Retina 2560x1600,AMD Ryzen 5 7530U 2.0GHz,64GB,512GB SSD,Intel Iris Xe,Windows 10,1.05kg,31646.35
175,Asus,Gaming,14.0,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,8GB,256GB SSD,NVIDIA RTX 4050,Windows 11,2.26kg,203271.29
176,Samsung,2 in 1 Convertible,14.0,2560x1600,Intel Core i9 13900H 5.4GHz,8GB,512GB SSD,Apple M3 GPU,Windows 11,1.18kg,228151.07
177,Razer,Workstation,16.0,2560x1600,AMD Ryzen 7 7840HS 3.8GHz,16GB,256GB SSD,NVIDIA RTX 4070,Windows 10,1.87kg,42040.55
178,Samsung,Gaming,17.3,OLED 2880x1800,Apple M3 Pro,64GB,1TB SSD,Apple M3 GPU,Linux,2.44kg,151414.28
179,Lenovo,Notebook,17.3,1920x1080,Intel Core i5 1240P 3.3GHz,16GB,2TB SSD,Apple M3 GPU,Windows 10,2.0kg,231619.86
180,Dell,Ultrabook,17.3,2560x1600,AMD Ryzen 7 7840HS 3.8GHz,16GB,256GB SSD,NVIDIA RTX 4060,Linux,1.51kg,85910.43
181,Lenovo,Workstation,16.0,3840x2160,Intel Core i7 1360P 3.7GHz,64GB,2TB SSD,AMD Radeon 780M,Windows 11,1.92kg,188313.74
182,Apple,Notebook,15.6,1920x1200,Intel Core i9 13900H 5.4GHz,32GB,2TB SSD,NVIDIA RTX 4060,No OS,1.44kg,129382.79
183,Razer,Ultrabook,13.3,Retina 2560x1600,Intel Core i7 1360P 3.7GHz,32GB,512GB SSD,AMD Radeon 780M,Windows 10,1.81kg,51598.27
184,MSI,Netbook,15.6,IPS Panel 1920x1080,Intel Core i5 1240P 3.3GHz,16GB,2TB SSD,NVIDIA RTX 4050,Windows 11,1.42kg,182150.26
185,Lenovo,Notebook,14.0,1920x1080,Apple M3 Pro,32GB,2TB SSD,NVIDIA RTX 4070,No OS,1.42kg,66274.56
186,Asus,Notebook,16.0,3840x2160,Intel Core i5 1240P 3.3GHz,16GB,256GB SSD,Intel Iris Xe,Windows 10,2.21kg,126539.58
187,Acer,2 in 1 Convertible,14.0,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,64GB,256GB SSD,NVIDIA RTX 4050,Linux,1.76kg,100121.36
188,Apple,Notebook,15.6,3840x2160,Intel Core i7 1360P 3.7GHz,32GB,512GB SSD,NVIDIA RTX 4060,Windows 10,1.25kg,147653.34
189,Apple,Notebook,14.0,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,8GB,2TB SSD,AMD Radeon 780M,Linux,1.49kg,100356.64
190,HP,2 in 1 Convertible,17.3,OLED 2880x1800,Apple M3 Pro,32GB,256GB SSD,AMD Radeon 780M,Windows 11,2.38kg,228040.77
191,Razer,Ultrabook,16.0,IPS Panel 1920x1080,Apple M2,64GB,2TB SSD,NVIDIA RTX 4060,No OS,1.24kg,185669.36
192,Dell,Notebook,15.6,2560x1600,Apple M3 Pro,8GB,512GB SSD,Integrated AMD Radeon,No OS,2.3kg,155194.54
193,Asus,Workstation,17.3,Retina 2560x1600,Intel Core i7 1360P 3.7GHz,32GB,1TB SSD,NVIDIA RTX 4050,macOS,1.56kg,73134.87
194,Apple,Gaming,13.3,IPS Panel 1920x1080,Intel Core i5 1240P 3.3GHz,16GB,512GB SSD,Integrated AMD Radeon,macOS,1.82kg,127308.1
195,Apple,Workstation,13.3,2880x1800,AMD Ryzen 5 7530U 2.0GHz,64GB,1TB SSD,NVIDIA RTX 4070,Windows 10,1.67kg,60336.97
196,Samsung,Netbook,17.3,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,64GB,2TB SSD,Apple M3 GPU,No OS,2.32kg,133166.41
197,Acer,Ultrabook,15.6,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,64GB,256GB SSD,Integrated AMD Radeon,Windows 11,1.54kg,133596.97
198,Lenovo,Netbook,17.3,1920x1200,Intel Core i9 13900H 5.4GHz,64GB,256GB SSD,Intel Iris Xe,Windows 10,1.63kg,239649.45
199,MSI,Netbook,17.3,OLED 2880x1800,Intel Core i9 13900H 5.4GHz,64GB,2TB SSD,Intel Iris Xe,Windows 11,1.44kg,221862.45
200,Samsung,Notebook,13.3,1920x1200,AMD Ryzen 5 7530U 2.0GHz,32GB,256GB SSD,Apple M3 GPU,Windows 11,1.8kg,101257.7
201,Microsoft,Netbook,15.6,1920x1080,Apple M2,64GB,2TB SSD,NVIDIA RTX 4060,Linux,1.95kg,50162.07
202,Acer,Ultrabook,16.0,OLED 2880x1800,Apple M3 Pro,32GB,2TB SSD,NVIDIA RTX 4070,No OS,2.37kg,53413.79
203,Razer,Ultrabook,17.3,IPS Panel 1920x1080,Apple M3 Pro,16GB,256GB SSD,Intel Iris Xe,Windows 11,1.92kg,54190.43
204,HP,2 in 1 Convertible,17.3,Retina 2560x1600,Apple M2,64GB,1TB SSD,NVIDIA RTX 4060,No OS,2.0kg,162944.69
205,MSI,2 in 1 Convertible,14.0,2560x1600,Intel Core i7 1360P 3.7GHz,64GB,256GB SSD,AMD Radeon 780M,macOS,1.51kg,199897.64
206,Dell,2 in 1 Convertible,13.3,1920x1080,AMD Ryzen 5 7530U 2.0GHz,32GB,1TB SSD,NVIDIA RTX 4070,Linux,1.29kg,129873.27
207,Razer,Workstation,13.3,2880x1800,Intel Core i5 1240P 3.3GHz,16GB,1TB SSD,Intel Iris Xe,Windows 11,2.01kg,239972.86
208,Razer,Notebook,14.0,IPS Panel 1920x1080,Apple M3 Pro,64GB,256GB SSD,NVIDIA RTX 4060,Windows 11,2.04kg,202997.18
209,Microsoft,Netbook,16.0,2880x1800,Intel Core i9 13900H 5.4GHz,16GB,512GB SSD,NVIDIA RTX 4060,macOS,2.1kg,214291.23
210,Asus,Gaming,15.6,3840x2160,Intel Core i7 1360P 3.7GHz,16GB,1TB SSD,NVIDIA RTX 4060,Windows 11,1.32kg,207184.32
211,Razer,Notebook,15.6,IPS Panel 1920x1080,Intel Core i5 1240P 3.3GHz,16GB,256GB SSD,Intel Iris Xe,Linux,1.53kg,186001.07
212,Asus,Gaming,17.3,1920x1080,Apple M2,16GB,256GB SSD,Intel Iris Xe,No OS,2.06kg,133927.26
213,Razer,Netbook,13.3,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,16GB,1TB SSD,NVIDIA RTX 4070,Windows 11,1.41kg,174414.25
214,Apple,2 in 1 Convertible,13.3,2880x1800,AMD Ryzen 5 7530U 2.0GHz,32GB,512GB SSD,Integrated AMD Radeon,macOS,1.44kg,104877.87
215,Acer,Gaming,14.0,2560x1600,Intel Core i5 1240P 3.3GHz,32GB,256GB SSD,AMD Radeon 780M,Windows 11,2.11kg,42477.34
216,Razer,Gaming,15.6,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,16GB,256GB SSD,NVIDIA RTX 4060,No OS,2.17kg,86370.27
217,Lenovo,2 in 1 Convertible,17.3,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,32GB,1TB SSD,NVIDIA RTX 4060,Linux,1.38kg,223396.76
218,Samsung,Netbook,14.0,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,32GB,512GB SSD,AMD Radeon 780M,Linux,1.0kg,166761.18
219,HP,Workstation,17.3,2880x1800,Intel Core i5 1240P 3.3GHz,64GB,256GB SSD,NVIDIA RTX 4060,Windows 11,1.12kg,136067.65
220,Asus,Ultrabook,16.0,OLED 2880x1800,Apple M2,8GB,512GB SSD,NVIDIA RTX 4060,Windows 10,2.11kg,244598.87
221,Asus,Workstation,15.6,Retina 2560x1600,Apple M2,64GB,512GB SSD,NVIDIA RTX 4050,No OS,1.01kg,73053.07
222,Acer,Workstation,13.3,IPS Panel 1920x1080,AMD Ryzen 5 7530U 2.0GHz,16GB,2TB SSD,NVIDIA RTX 4050,No OS,2.46kg,65475.08
223,HP,Gaming,15.6,IPS Panel 1920x1080,AMD Ryzen 7 7840HS 3.8GHz,32GB,2TB SSD,Intel Iris Xe,Windows 10,2.33kg,105739.57
224,Acer,Notebook,17.3,3840x2160,Apple M3 Pro,64GB,2TB SSD,Intel Iris Xe,Windows 11,1.31kg,63612.06
225,Dell,Netbook,13.3,Retina 2560x1600,Intel Core i9 13900H 5.4GHz,8GB,512GB SSD,AMD Radeon 780M,macOS,1.41kg,184028.99
226,HP,Notebook,17.3,1920x1080,Intel Core i5 1240P 3.3GHz,64GB,1TB SSD,NVIDIA RTX 4060,Windows 11,2.09kg,69739.15
227,Acer,Gaming,16.0,1920x1200,Intel Core i9 13900H 5.4GHz,32GB,512GB SSD,AMD Radeon 780M,Windows 10,1.93kg,244231.39
228,Samsung,Ultrabook,16.0,3840x2160,Apple M3 Pro,64GB,2TB SSD,Integrated AMD Radeon,Linux,1.54kg,119324.01
229,HP,Ultrabook,15.6,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,32GB,256GB SSD,Integrated AMD Radeon,Linux,1.84kg,197736.4
230,Acer,2 in 1 Convertible,14.0,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,64GB,2TB SSD,NVIDIA RTX 4050,No OS,1.36kg,176708.67
231,Acer,Netbook,16.0,1920x1080,Intel Core i7 1360P 3.7GHz,32GB,512GB SSD,AMD Radeon 780M,Windows 11,1.61kg,111555.58
232,Lenovo,Ultrabook,17.3,1920x1080,Intel Core i7 1360P 3.7GHz,64GB,2TB SSD,NVIDIA RTX 4060,macOS,1.49kg,37129.07
233,HP,Netbook,14.0,3840x2160,Apple M3 Pro,16GB,256GB SSD,NVIDIA RTX 4070,Linux,2.45kg,73276.83
234,Microsoft,Gaming,16.0,2560x1600,Intel Core i7 1360P 3.7GHz,64GB,256GB SSD,Intel Iris Xe,Windows 11,2.39kg,182451.43
235,Dell,Workstation,14.0,2880x1800,Apple M3 Pro,8GB,1TB SSD,NVIDIA RTX 4050,Windows 11,1.73kg,242564.99
236,Dell,2 in 1 Convertible,16.0,1920x1080,Intel Core i9 13900H 5.4GHz,16GB,512GB SSD,Apple M3 GPU,Linux,2.5kg,146487.28
237,Apple,Ultrabook,16.0,2880x1800,Intel Core i5 1240P 3.3GHz,16GB,1TB SSD,NVIDIA RTX 4050,macOS,1.88kg,110155.11
238,Apple,Ultrabook,16.0,1920x1200,Intel Core i9 13900H 5.4GHz,64GB,256GB SSD,Intel Iris Xe,No OS,1.22kg,122290.19
239,Samsung,2 in 1 Convertible,16.0,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,32GB,512GB SSD,NVIDIA RTX 4070,Windows 11,1.24kg,162465.08
240,Asus,Ultrabook,17.3,2880x1800,Intel Core i7 1360P 3.7GHz,32GB,2TB SSD,Apple M3 GPU,Linux,2.19kg,80873.87
241,Microsoft,Ultrabook,15.6,1920x1080,Intel Core i9 13900H 5.4GHz,16GB,512GB SSD,Intel Iris Xe,macOS,1.74kg,131722.63
242,MSI,Notebook,14.0,2880x1800,AMD Ryzen 5 7530U 2.0GHz,32GB,1TB SSD,NVIDIA RTX 4060,Windows 11,1.79kg,50317.99
243,MSI,Notebook,13.3,1920x1080,AMD Ryzen 5 7530U 2.0GHz,8GB,2TB SSD,Intel Iris Xe,Linux,1.93kg,106960.17
244,Asus,2 in 1 Convertible,16.0,1920x1080,Intel Core i5 1240P 3.3GHz,8GB,1TB SSD,NVIDIA RTX 4070,No OS,1.85kg,41329.15
245,Microsoft,Notebook,17.3,1920x1080,Intel Core i9 13900H 5.4GHz,8GB,512GB SSD,Intel Iris Xe,Windows 10,1.73kg,186577.69
246,Microsoft,Ultrabook,16.0,1920x1080,Apple M3 Pro,16GB,2TB SSD,NVIDIA RTX 4070,Linux,2.37kg,115555.68
247,Razer,Ultrabook,14.0,Retina 2560x1600,Intel Core i7 1360P 3.7GHz,8GB,1TB SSD,NVIDIA RTX 4050,Linux,1.38kg,65503.47
248,Microsoft,2 in 1 Convertible,15.6,2560x1600,AMD Ryzen 5 7530U 2.0GHz,64GB,2TB SSD,NVIDIA RTX 4060,No OS,2.42kg,183925.48
249,Apple,2 in 1 Convertible,13.3,IPS Panel 1920x1080,Intel Core i9 13900H 5.4GHz,64GB,512GB SSD,Intel Iris Xe,Windows 11,2.4kg,88087.63
250,Apple,Workstation,13.3,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,32GB,512GB SSD,Intel Iris Xe,macOS,2.31kg,144795.71
251,HP,Gaming,14.0,3840x2160,Apple M2,16GB,2TB SSD,NVIDIA RTX 4050,Linux,1.95kg,41238.03
252,HP,Notebook,15.6,1920x1080,Intel Core i5 1240P 3.3GHz,64GB,512GB SSD,AMD Radeon 780M,Windows 10,1.87kg,94588.61
253,Apple,Gaming,15.6,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,8GB,1TB SSD,Intel Iris Xe,macOS,1.52kg,74864.29
254,Dell,Netbook,17.3,2560x1600,Apple M3 Pro,8GB,1TB SSD,NVIDIA RTX 4060,No OS,1.98kg,88706.24
255,HP,Workstation,13.3,1920x1200,Apple M2,64GB,512GB SSD,Integrated AMD Radeon,Windows 10,1.09kg,110342.88
256,MSI,Workstation,15.6,IPS Panel 1920x1080,Intel Core i7 1360P 3.7GHz,16GB,256GB SSD,AMD Radeon 780M,Linux,1.57kg,123085.25
257,Apple,2 in 1 Convertible,16.0,2880x1800,Intel Core i7 1360P 3.7GHz,8GB,2TB SSD,Intel Iris Xe,Linux,1.32kg,53958.77
258,Lenovo,Workstation,16.0,2560x1600,Intel Core i5 1240P 3.3GHz,16GB,1TB SSD,AMD Radeon 780M,Windows 11,1.03kg,128706.43
259,Samsung,2 in 1 Convertible,17.3,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,16GB,256GB SSD,Integrated AMD Radeon,No OS,1.74kg,205822.41
260,Razer,Notebook,14.0,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,32GB,512GB SSD,NVIDIA RTX 4070,No OS,1.22kg,144723.02
261,Samsung,Workstation,14.0,1920x1080,Apple M3 Pro,8GB,2TB SSD,Integrated AMD Radeon,macOS,2.29kg,43671.79
262,Microsoft,Netbook,14.0,2880x1800,Intel Core i5 1240P 3.3GHz,8GB,2TB SSD,AMD Radeon 780M,Windows 10,1.46kg,220683.23
263,Dell,Netbook,17.3,2880x1800,Intel Core i7 1360P 3.7GHz,64GB,256GB SSD,NVIDIA RTX 4050,Linux,2.45kg,214329.02
264,Asus,Netbook,17.3,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,32GB,256GB SSD,NVIDIA RTX 4050,Windows 10,1.23kg,130840.64
265,Microsoft,2 in 1 Convertible,15.6,1920x1200,Intel Core i7 1360P 3.7GHz,32GB,2TB SSD,AMD Radeon 780M,Linux,1.77kg,52675.68
266,Razer,Netbook,16.0,OLED 2880x1800,Apple M2,16GB,512GB SSD,Intel Iris Xe,Windows 10,1.28kg,175601.37
267,Dell,Netbook,14.0,1920x1200,Intel Core i7 1360P 3.7GHz,8GB,256GB SSD,Intel Iris Xe,macOS,1.09kg,167338.45
268,Samsung,Workstation,17.3,3840x2160,Apple M3 Pro,32GB,2TB SSD,NVIDIA RTX 4070,macOS,1.81kg,98332.72
269,HP,Ultrabook,15.6,2560x1600,Apple M2,8GB,1TB SSD,AMD Radeon 780M,macOS,1.25kg,47993.4
270,HP,Gaming,16.0,3840x2160,Intel Core i5 1240P 3.3GHz,64GB,512GB SSD,Intel Iris Xe,Windows 11,2.26kg,135427.05
271,Razer,Notebook,14.0,3840x2160,Intel Core i7 1360P 3.7GHz,16GB,512GB SSD,NVIDIA RTX 4060,Windows 10,2.35kg,35002.42
272,Microsoft,2 in 1 Convertible,16.0,3840x2160,Apple M2,8GB,2TB SSD,NVIDIA RTX 4060,Windows 11,2.45kg,88382.91
273,HP,2 in 1 Convertible,13.3,3840x2160,Intel Core i5 1240P 3.3GHz,16GB,256GB SSD,Apple M3 GPU,Windows 10,1.07kg,206995.41
274,Dell,Notebook,13.3,Retina 2560x1600,Apple M2,32GB,1TB SSD,NVIDIA RTX 4060,Windows 10,1.47kg,147054.72
275,HP,2 in 1 Convertible,14.0,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,64GB,512GB SSD,Intel Iris Xe,Windows 10,1.94kg,95059.37
276,MSI,Notebook,14.0,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,8GB,2TB SSD,AMD Radeon 780M,Linux,1.48kg,243307.0
277,Dell,2 in 1 Convertible,15.6,2560x1600,Apple M3 Pro,8GB,512GB SSD,Integrated AMD Radeon,Linux,2.46kg,225520.46
278,Razer,Netbook,14.0,2560x1600,AMD Ryzen 5 7530U 2.0GHz,32GB,256GB SSD,Apple M3 GPU,Linux,1.56kg,101504.69
279,Samsung,Notebook,13.3,2880x1800,Intel Core i5 1240P 3.3GHz,16GB,512GB SSD,Apple M3 GPU,Linux,1.45kg,241830.03
280,Samsung,2 in 1 Convertible,14.0,2880x1800,Intel Core i7 1360P 3.7GHz,8GB,1TB SSD,NVIDIA RTX 4060,Linux,1.91kg,37787.43
281,Lenovo,2 in 1 Convertible,16.0,2560x1600,Apple M3 Pro,8GB,1TB SSD,NVIDIA RTX 4060,macOS,1.44kg,46806.7
282,Microsoft,Notebook,15.6,OLED 2880x1800,Apple M2,16GB,512GB SSD,NVIDIA RTX 4060,Windows 11,2.08kg,220138.96
283,Lenovo,Workstation,16.0,OLED 2880x1800,Intel Core i9 13900H 5.4GHz,64GB,256GB SSD,NVIDIA RTX 4060,No OS,1.31kg,167873.21
284,Razer,Notebook,14.0,Retina 2560x1600,Intel Core i7 1360P 3.7GHz,8GB,512GB SSD,Intel Iris Xe,Windows 10,1.86kg,243732.75
285,HP,Workstation,13.3,Retina 2560x1600,Apple M3 Pro,32GB,256GB SSD,NVIDIA RTX 4070,Windows 11,1.94kg,169097.93
286,MSI,Netbook,16.0,Retina 2560x1600,AMD Ryzen 7 7840HS 3.8GHz,8GB,2TB SSD,AMD Radeon 780M,Windows 10,1.96kg,121105.59
287,Apple,2 in 1 Convertible,14.0,Retina 2560x1600,Intel Core i9 13900H 5.4GHz,64GB,1TB SSD,NVIDIA RTX 4070,Windows 11,1.18kg,116153.13
288,Razer,Netbook,13.3,1920x1080,Apple M3 Pro,8GB,512GB SSD,AMD Radeon 780M,Linux,2.06kg,85407.17
289,Apple,Netbook,17.3,Retina 2560x1600,Apple M3 Pro,32GB,2TB SSD,NVIDIA RTX 4070,Windows 11,1.59kg,104725.5
290,MSI,2 in 1 Convertible,16.0,Retina 2560x1600,Apple M2,32GB,256GB SSD,Intel Iris Xe,Linux,1.95kg,49501.08
291,Razer,Ultrabook,17.3,2560x1600,Apple M3 Pro,32GB,512GB SSD,NVIDIA RTX 4050,Windows 11,1.58kg,135592.0
292,Razer,Workstation,16.0,OLED 2880x1800,Apple M3 Pro,16GB,512GB SSD,NVIDIA RTX 4050,macOS,2.3kg,141253.33
293,Lenovo,Gaming,16.0,Retina 2560x1600,Intel Core i7 1360P 3.7GHz,16GB,512GB SSD,NVIDIA RTX 4060,Windows 10,1.19kg,169058.7
294,Microsoft,Notebook,14.0,Retina 2560x1600,Intel Core i9 13900H 5.4GHz,32GB,256GB SSD,Apple M3 GPU,Windows 11,1.28kg,57756.81
295,Dell,Ultrabook,17.3,1920x1200,Intel Core i9 13900H 5.4GHz,8GB,2TB SSD,Apple M3 GPU,No OS,1.45kg,189226.04
296,Microsoft,Gaming,17.3,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,8GB,1TB SSD,NVIDIA RTX 4070,Windows 10,2.26kg,42615.63
297,Samsung,2 in 1 Convertible,17.3,1920x1080,AMD Ryzen 7 7840HS 3.8GHz,64GB,256GB SSD,NVIDIA RTX 4050,No OS,2.04kg,223848.73
298,Lenovo,Gaming,15.6,OLED 2880x1800,Intel Core i9 13900H 5.4GHz,64GB,2TB SSD,NVIDIA RTX 4050,Windows 11,2.32kg,178083.45
299,Apple,2 in 1 Convertible,14.0,1920x1080,Apple M3 Pro,64GB,256GB SSD,Integrated AMD Radeon,Windows 11,1.1kg,81403.9
300,Microsoft,Workstation,15.6,3840x2160,Intel Core i9 13900H 5.4GHz,32GB,512GB SSD,NVIDIA RTX 4050,No OS,1.09kg,197717.14
301,Dell,2 in 1 Convertible,17.3,OLED 2880x1800,Apple M2,32GB,2TB SSD,NVIDIA RTX 4050,Linux,2.25kg,30600.2
302,Asus,Notebook,15.6,OLED 2880x1800,Intel Core i5 1240P 3.3GHz,8GB,512GB SSD,AMD Radeon 780M,macOS,2.45kg,133802.42
303,Apple,2 in 1 Convertible,13.3,Retina 2560x1600,Intel Core i9 13900H 5.4GHz,8GB,1TB SSD,NVIDIA RTX 4050,Windows 10,2.26kg,196987.07
304,Acer,Gaming,14.0,2560x1600,AMD Ryzen 7 7840HS 3.8GHz,16GB,256GB SSD,Intel Iris Xe,No OS,1.21kg,103293.46
305,Acer,Notebook,13.3,Retina 2560x1600,Intel Core i9 13900H 5.4GHz,32GB,1TB SSD,Intel Iris Xe,Windows 11,1.73kg,223627.17
306,Lenovo,Workstation,17.3,OLED 2880x1800,Apple M2,16GB,2TB SSD,Integrated AMD Radeon,macOS,1.07kg,171380.77
307,Asus,Workstation,13.3,1920x1200,Intel Core i5 1240P 3.3GHz,8GB,256GB SSD,NVIDIA RTX 4070,Linux,1.49kg,68599.71
308,Lenovo,Notebook,14.0,2880x1800,Intel Core i7 1360P 3.7GHz,64GB,512GB SSD,AMD Radeon 780M,macOS,1.2kg,236718.53
309,Samsung,Ultrabook,14.0,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,32GB,1TB SSD,Apple M3 GPU,Windows 10,1.61kg,189992.1
310,Acer,2 in 1 Convertible,15.6,2880x1800,Apple M3 Pro,8GB,1TB SSD,Intel Iris Xe,Windows 10,2.02kg,144180.69
311,Razer,Gaming,17.3,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,32GB,2TB SSD,Integrated AMD Radeon,No OS,2.36kg,100493.37
312,Asus,2 in 1 Convertible,13.3,2880x1800,Apple M2,64GB,1TB SSD,Intel Iris Xe,Windows 10,1.42kg,91121.29
313,Microsoft,2 in 1 Convertible,16.0,2880x1800,AMD Ryzen 5 7530U 2.0GHz,16GB,2TB SSD,NVIDIA RTX 4060,No OS,2.0kg,104637.16
314,Razer,Netbook,13.3,Retina 2560x1600,AMD Ryzen 5 7530U 2.0GHz,8GB,1TB SSD,Intel Iris Xe,No OS,2.45kg,131780.07
315,Apple,Netbook,14.0,OLED 2880x1800,AMD Ryzen 7 7840HS 3.8GHz,8GB,512GB SSD,Integrated AMD Radeon,No OS,2.26kg,202155.23
316,Microsoft,2 in 1 Convertible,17.3,1920x1080,AMD Ryzen 7 7840HS 3.8GHz,8GB,512GB SSD,NVIDIA RTX 4070,macOS,1.09kg,219132.87
317,Apple,Ultrabook,17.3,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,64GB,1TB SSD,Apple M3 GPU,Windows 10,1.11kg,68741.56
318,MSI,Workstation,17.3,1920x1080,Apple M2,16GB,512GB SSD,Intel Iris Xe,Linux,2.32kg,43339.63
319,HP,Ultrabook,17.3,Retina 2560x1600,AMD Ryzen 5 7530U 2.0GHz,8GB,1TB SSD,Intel Iris Xe,No OS,1.27kg,110047.77
320,MSI,Ultrabook,16.0,2880x1800,AMD Ryzen 7 7840HS 3.8GHz,64GB,256GB SSD,NVIDIA RTX 4070,macOS,2.05kg,41562.69
321,Acer,Notebook,17.3,IPS Panel 1920x1080,Apple M2,8GB,2TB SSD,AMD Radeon 780M,Windows 11,2.37kg,91466.98
322,Razer,Gaming,16.0,Retina 2560x1600,Intel Core i5 1240P 3.3GHz,64GB,2TB SSD,Intel Iris Xe,Windows 10,1.98kg,172386.09
323,Razer,Workstation,13.3,3840x2160,Apple M3 Pro,64GB,256GB SSD,NVIDIA RTX 4060,Linux,1.79kg,171023.59
324,Asus,Notebook,15.6,Retina 2560x1600,Apple M2,16GB,2TB SSD,Intel Iris Xe,Linux,1.32kg,244986.34
325,Asus,Notebook,17.3,1920x1080,AMD Ryzen 5 7530U 2.0GHz,64GB,2TB SSD,Intel Iris Xe,Windows 11,1.47kg,186258.25
326,Apple,Workstation,14.0,OLED 2880x1800,Intel Core i7 1360P 3.7GHz,8GB,256GB SSD,Apple M3 GPU,Linux,2.46kg,176636.86
327,Acer,Netbook,17.3,2560x1600,Intel Core i5 1240P 3.3GHz,32GB,256GB SSD,NVIDIA RTX 4050,No OS,1.88kg,129200.18
328,Samsung,Notebook,15.6,1920x1200,Apple M2,32GB,256GB SSD,NVIDIA RTX 4060,Linux,1.42kg,205336.61
329,Asus,Workstation,16.0,OLED 2880x1800,AMD Ryzen 7 7840HS 3.8GHz,16GB,1TB SSD,AMD Radeon 780M,Windows 10,1.79kg,167902.68
330,Dell,Ultrabook,15.6,OLED 2880x1800,AMD Ryzen 5 7530U 2.0GHz,16GB,1TB SSD,AMD Radeon 780M,Linux,1.55kg,152182.23
331,Asus,Notebook,13.3,2880x1800,Intel Core i5 1240P 3.3GHz,8GB,256GB SSD,Apple M3 GPU,No OS,1.86kg,177000.96
332,HP,2 in 1 Convertible,14.0,3840x2160,Intel Core i5 1240P 3.3GHz,64GB,256GB SSD,Apple M3 GPU,Windows 10,2.06kg,53345.64
333,Dell,Ultrabook,13.3,1920x1080,AMD Ryzen 7 7840HS 3.8GHz,16GB,1TB SSD,Intel Iris Xe,No OS,1.53kg,59392.92
334,Microsoft,Workstation,14.0,Retina 2560x1600,Apple M3 Pro,16GB,512GB SSD,Integrated AMD Radeon,Linux,1.78kg,199314.06
335,Microsoft,Notebook,15.6,2560x1600,Intel Core i5 1240P 3.3GHz,32GB,512GB SSD,NVIDIA RTX 4070,No OS,2.14kg,192531.86
336,MSI,Netbook,17.3,1920x1200,Apple M3 Pro,8GB,256GB SSD,Intel Iris Xe,Windows 10,1.33kg,31973.38
337,Acer,2 in 1 Convertible,15.6,2560x1600,Intel Core i7 1360P 3.7GHz,8GB,512GB SSD,NVIDIA RTX 4050,Windows 10,2.05kg,69046.72
338,Samsung,Ultrabook,16.0,3840x2160,Apple M2,32GB,2TB SSD,NVIDIA RTX 4060,Linux,1.64kg,179146.71
339,Samsung,Ultrabook,15.6,2560x1600,Apple M2,16GB,512GB SSD,Apple M3 GPU,Windows 10,2.01kg,44602.35
340,Acer,Netbook,14.0,Retina 2560x1600,Intel Core i9 13900H 5.4GHz,32GB,512GB SSD,Integrated AMD Radeon,macOS,1.99kg,114822.07
341,HP,Workstation,17.3,3840x2160,Apple M3 Pro,64GB,1TB SSD,NVIDIA RTX 4070,Linux,2.39kg,149249.46
342,Apple,Ultrabook,15.6,1920x1080,Intel Core i9 13900H 5.4GHz,16GB,256GB SSD,Integrated AMD Radeon,Windows 11,1.8kg,95224.53
343,Razer,Netbook,17.3,2560x1600,Apple M3 Pro,16GB,1TB SSD,NVIDIA RTX 4060,macOS,1.27kg,223219.42
344,Dell,2 in 1 Convertible,17.3,IPS Panel 1920x1080,Intel Core i5 1240P 3.3GHz,8GB,256GB SSD,Intel Iris Xe,macOS,2.15kg,130514.8
345,MSI,Gaming,17.3,OLED 2880x1800,Intel Core i9 13900H 5.4GHz,8GB,2TB SSD,Apple M3 GPU,Windows 10,1.7kg,65722.67
